"","liczba_przypadkow","stan_rekordu_na","wojewodztwo"
"456",129,"2020-12-19","świętokrzyskie"
"457",621,"2020-12-19","warmińsko-mazurskie"
"458",1162,"2020-12-19","wielkopolskie"
"459",782,"2020-12-19","zachodniopomorskie"
"460",4633,"2020-12-20","Cały kraj"
"461",203,"2020-12-20","dolnośląskie"
"462",488,"2020-12-20","kujawsko-pomorskie"
"463",250,"2020-12-20","lubelskie"
"464",173,"2020-12-20","lubuskie"
"465",271,"2020-12-20","łódzkie"
"466",211,"2020-12-20","małopolskie"
"467",635,"2020-12-20","mazowieckie"
"468",138,"2020-12-20","opolskie"
"469",134,"2020-12-20","podkarpackie"
"470",99,"2020-12-20","podlaskie"
"471",551,"2020-12-20","pomorskie"
"472",243,"2020-12-20","śląskie"
"473",70,"2020-12-20","świętokrzyskie"
"474",175,"2020-12-20","warmińsko-mazurskie"
"475",308,"2020-12-20","wielkopolskie"
"476",566,"2020-12-20","zachodniopomorskie"
"477",7190,"2020-12-21","Cały kraj"
"478",418,"2020-12-21","dolnośląskie"
"479",783,"2020-12-21","kujawsko-pomorskie"
"480",532,"2020-12-21","lubelskie"
"481",146,"2020-12-21","lubuskie"
"482",459,"2020-12-21","łódzkie"
"483",198,"2020-12-21","małopolskie"
"484",889,"2020-12-21","mazowieckie"
"485",92,"2020-12-21","opolskie"
"486",224,"2020-12-21","podkarpackie"
"487",176,"2020-12-21","podlaskie"
"488",708,"2020-12-21","pomorskie"
"489",721,"2020-12-21","śląskie"
"490",151,"2020-12-21","świętokrzyskie"
"491",586,"2020-12-21","warmińsko-mazurskie"
"492",584,"2020-12-21","wielkopolskie"
"493",396,"2020-12-21","zachodniopomorskie"
"494",12363,"2020-12-22","Cały kraj"
"495",601,"2020-12-22","dolnośląskie"
"496",1211,"2020-12-22","kujawsko-pomorskie"
"497",573,"2020-12-22","lubelskie"
"498",367,"2020-12-22","lubuskie"
"499",864,"2020-12-22","łódzkie"
"500",528,"2020-12-22","małopolskie"
"501",1524,"2020-12-22","mazowieckie"
"502",247,"2020-12-22","opolskie"
"503",224,"2020-12-22","podkarpackie"
"504",330,"2020-12-22","podlaskie"
"505",974,"2020-12-22","pomorskie"
"506",1274,"2020-12-22","śląskie"
"507",165,"2020-12-22","świętokrzyskie"
"508",986,"2020-12-22","warmińsko-mazurskie"
"509",1400,"2020-12-22","wielkopolskie"
"510",993,"2020-12-22","zachodniopomorskie"
"511",13114,NA,"Cały kraj"
"512",742,NA,"dolnośląskie"
"513",1312,NA,"kujawsko-pomorskie"
"514",597,NA,"lubelskie"
"515",399,NA,"lubuskie"
"516",950,NA,"łódzkie"
"517",410,NA,"małopolskie"
"518",1829,NA,"mazowieckie"
"519",280,NA,"opolskie"
"520",288,NA,"podkarpackie"
"521",325,NA,"podlaskie"
"522",1108,NA,"pomorskie"
"523",1002,NA,"śląskie"
"524",165,NA,"świętokrzyskie"
"525",838,NA,"warmińsko-mazurskie"
"526",1608,NA,"wielkopolskie"
"527",1006,NA,"zachodniopomorskie"
"528",9077,NA,"Cały kraj"
"529",474,NA,"dolnośląskie"
"530",767,NA,"kujawsko-pomorskie"
"531",357,NA,"lubelskie"
"532",351,NA,"lubuskie"
"533",739,NA,"łódzkie"
"534",210,NA,"małopolskie"
"535",1166,NA,"mazowieckie"
"536",258,NA,"opolskie"
"537",212,NA,"podkarpackie"
"538",242,NA,"podlaskie"
"539",666,NA,"pomorskie"
"540",695,NA,"śląskie"
"541",89,NA,"świętokrzyskie"
"542",607,NA,"warmińsko-mazurskie"
"543",1045,NA,"wielkopolskie"
"544",990,NA,"zachodniopomorskie"
"545",5048,NA,"Cały kraj"
"546",219,NA,"dolnośląskie"
"547",472,NA,"kujawsko-pomorskie"
"548",268,NA,"lubelskie"
"549",111,NA,"lubuskie"
"550",280,NA,"łódzkie"
"551",169,NA,"małopolskie"
"552",741,NA,"mazowieckie"
"553",97,NA,"opolskie"
"554",132,NA,"podkarpackie"
"555",115,NA,"podlaskie"
"556",487,NA,"pomorskie"
"557",285,NA,"śląskie"
"558",82,NA,"świętokrzyskie"
"559",315,NA,"warmińsko-mazurskie"
"560",518,NA,"wielkopolskie"
"561",557,NA,"zachodniopomorskie"
"562",3678,NA,"Cały kraj"
"563",153,NA,"dolnośląskie"
"564",326,NA,"kujawsko-pomorskie"
"565",103,NA,"lubelskie"
"566",65,NA,"lubuskie"
"567",199,NA,"łódzkie"
"568",115,NA,"małopolskie"
"569",532,NA,"mazowieckie"
"570",99,NA,"opolskie"
"571",68,NA,"podkarpackie"
"572",93,NA,"podlaskie"
"573",536,NA,"pomorskie"
"574",279,NA,"śląskie"
"575",51,NA,"świętokrzyskie"
"576",188,NA,"warmińsko-mazurskie"
"577",387,NA,"wielkopolskie"
"578",270,NA,"zachodniopomorskie"
"579",3211,NA,"Cały kraj"
"580",109,NA,"dolnośląskie"
"581",302,NA,"kujawsko-pomorskie"
"582",126,NA,"lubelskie"
"583",49,NA,"lubuskie"
"584",199,NA,"łódzkie"
"585",190,NA,"małopolskie"
"586",409,NA,"mazowieckie"
"587",50,NA,"opolskie"
"588",76,NA,"podkarpackie"
"589",70,NA,"podlaskie"
"590",404,NA,"pomorskie"
"591",224,NA,"śląskie"
"592",55,NA,"świętokrzyskie"
"593",136,NA,"warmińsko-mazurskie"
"594",309,NA,"wielkopolskie"
